vehicle_id,vehicle_type,brand,model,fuel_type,color,vehicle_category,spec_note,seats_or_power,daily_rental_usd,available_units,condition,shop_id,shop_name,city,district,address,lat,lng
CAR_0000,car,Ferrari,Sf90 Stradale,Plug-in Hybrid,Black,Ultra-Luxury,963.0 hp | 340.0 km/h top speed,2.0 seats,876.0,3,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0000,car,Ferrari,Sf90 Stradale,Plug-in Hybrid,Black,Ultra-Luxury,963.0 hp | 340.0 km/h top speed,2.0 seats,877.0,1,Excellent,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0001,car,Rolls Royce,Phantom,Petrol,Grey,Ultra-Luxury,563.0 hp | 250.0 km/h top speed,5.0 seats,367.0,1,Excellent,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0001,car,Rolls Royce,Phantom,Petrol,Grey,Ultra-Luxury,563.0 hp | 250.0 km/h top speed,5.0 seats,365.0,1,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0002,car,Rolls Royce,Phantom,Petrol,Brown,Ultra-Luxury,563.0 hp | 250.0 km/h top speed,5.0 seats,369.0,4,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0002,car,Rolls Royce,Phantom,Petrol,Brown,Ultra-Luxury,563.0 hp | 250.0 km/h top speed,5.0 seats,367.0,3,Excellent,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0003,car,Rolls Royce,Phantom,Petrol,Silver,Ultra-Luxury,563.0 hp | 250.0 km/h top speed,5.0 seats,370.0,3,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0004,car,Ford,Ka+,Petrol,Orange,Budget,70.0 hp | 165.0 km/h top speed,5.0 seats,24.0,3,Excellent,SHOP_006,Phuong Nam Rentals,Ho Chi Minh City,Go Vap,"9 Nguyen Oanh, Go Vap, HCMC",10.838,106.6749
CAR_0005,car,Mercedes,Gt 63 S,Petrol,Brown,Ultra-Luxury,630.0 hp | 250.0 km/h top speed,4.0 seats,128.0,3,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0006,car,Audi,Audi R8 Gt,Petrol,Black,Ultra-Luxury,602.0 hp | 320.0 km/h top speed,2.0 seats,200.0,1,Fair,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0006,car,Audi,Audi R8 Gt,Petrol,Black,Ultra-Luxury,602.0 hp | 320.0 km/h top speed,2.0 seats,203.0,4,Excellent,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0007,car,Bmw,Mclaren 720S,Petrol,Orange,Ultra-Luxury,710.0 hp | 341.0 km/h top speed,2.0 seats,397.0,3,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0007,car,Bmw,Mclaren 720S,Petrol,Orange,Ultra-Luxury,710.0 hp | 341.0 km/h top speed,2.0 seats,401.0,1,Good,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0008,car,Aston Martin,Vantage F1,Petrol,Grey,Ultra-Luxury,656.0 hp | 314.0 km/h top speed,2.0 seats,160.0,2,Excellent,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0008,car,Aston Martin,Vantage F1,Petrol,Grey,Ultra-Luxury,656.0 hp | 314.0 km/h top speed,2.0 seats,154.0,4,Good,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0009,car,Bentley,Continental Gt Azure,Petrol,Red,Ultra-Luxury,550.0 hp | 318.0 km/h top speed,4.0 seats,248.0,2,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0010,car,Lamborghini,Veneno Roadster,Petrol,Red,Ultra-Luxury,750.0 hp | 356.0 km/h top speed,2.0 seats,3604.0,1,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0010,car,Lamborghini,Veneno Roadster,Petrol,Red,Ultra-Luxury,750.0 hp | 356.0 km/h top speed,2.0 seats,3600.0,2,Good,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0011,car,Lamborghini,Veneno Roadster,Petrol,Silver,Ultra-Luxury,750.0 hp | 356.0 km/h top speed,2.0 seats,3599.0,2,Good,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0011,car,Lamborghini,Veneno Roadster,Petrol,Silver,Ultra-Luxury,750.0 hp | 356.0 km/h top speed,2.0 seats,3603.0,1,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0012,car,Lamborghini,Veneno Roadster,Petrol,Grey,Ultra-Luxury,750.0 hp | 356.0 km/h top speed,2.0 seats,3603.0,4,Good,SHOP_012,Tay Ho Premium Rides,Hanoi,Tay Ho,"3 Dang Thai Mai, Tay Ho, Hanoi",21.0631,105.8323
CAR_0013,car,Ferrari,F8 Tributo,Petrol,White,Ultra-Luxury,710.0 hp | 340.0 km/h top speed,2.0 seats,221.0,3,Good,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
CAR_0014,car,Ferrari,F8 Tributo,Petrol,Brown,Ultra-Luxury,710.0 hp | 340.0 km/h top speed,2.0 seats,224.0,4,Good,SHOP_005,Luxe Drive Saigon,Ho Chi Minh City,District 7,"15 Nguyen Luong Bang, District 7, HCMC",10.7289,106.7218
